rank,university,score,country,twitter_name
125,RWTH Aachen University,77.27,Germany,RWTH
126,McMaster University,77.197,Canada,McMasterU
127,University of Calgary,76.913,Canada,UCalgary
128,University of Utah,76.614,USA,UUtah
129,Monash University,76.6,Australia,MonashUni
130,National Taiwan University,76.55,Taiwan,NA
131,City University of Hong Kong,76.451,Hong Kong,CityUHongKong
132,Durham University,76.447,UK,durham_uni
133,Tulane University,76.373,USA,Tulane
134,Autonomous University of Barcelona,76.296,Spain,UABBarcelona
135,Karlsruhe Institute of Technology,76.295,Germany,KITKarlsruhe
136,University of Iowa,76.175,USA,uiowa
137,Nagoya University,76.166,Japan,NagoyaUniv
138,University of Western Australia,76.08,Australia,uwanews
140,Technische Universitat Dresden (TU Dresden),76.004,Germany,tudresden_de
140,University of Nova Gorica,76.004,Slovenia,NA
141,Trinity College Dublin,75.989,Ireland,tcddublin
142,University of Adelaide,75.846,Australia,UniofAdelaide
143,University of Hamburg,75.79,Germany,unihh
144,Kyushu University,75.745,Japan,KyushuUniv_EN
145,Technical University of Berlin,75.483,Germany,TUBerlin
146,University of Cape Town,75.453,South Africa,UCT_news
147,Hokkaido University,75.351,Japan,HokkaidoUni
148,University of Glasgow,75.328,UK,UofGlasgow
149,Rockefeller University,75.246,USA,RockefellerUniv
150,Lancaster University,75.159,UK,LancasterUni
151,Katholieke Universiteit Leuven (KU Leuven),75.153,Belgium,LeuvenU
152,"State University of New York, Stony Brook",74.975,USA,stonybrooku
153,Humboldt University of Berlin,74.963,Germany,HumboldtUni
154,University Paris Diderot - Paris 7,74.955,France,ParisDiderot
155,University of Cologne,74.928,Germany,UniCologne
156,University of Malaya,74.869,Malaysia,unimalaya
157,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),74.845,Russia,UMephi
158,Colorado School of Mines,74.788,USA,coschoolofmines
159,University of Colorado,74.772,USA,CUSystem
160,University of Kansas,74.589,USA,UnivOfKansas
161,University of Munster,74.588,Germany,WWU_Muenster
162,University of Sheffield,74.492,UK,sheffielduni
163,University of Barcelona,74.483,Spain,UniBarcelona
164,Sungkyunkwan University,74.43,Republic of Korea,SKKU_1398
165,University of Arizona,74.35,USA,uarizona
166,Cardiff University,74.158,UK,cardiffuni
167,University of Leicester,74.092,UK,uniofleicester
168,Technion Israel Institute of Technology,73.921,Israel,TechnionLive
169,University of Illinois at Urbana - Champaign,73.901,USA,Illinois_Alma
170,"University of California, Irvine",73.804,USA,UCIrvine
171,Korea University,73.527,Republic of Korea,UniversityKorea
172,"University of California, Santa Barbara",73.499,USA,ucsantabarbara
173,Northeastern University,73.344,USA,Northeastern
174,Indiana University,73.32,USA,IndianaUniv
175,Hanyang University,73.241,Republic of Korea,i_hanyang
176,Pennsylvania State University,73.195,USA,penn_state
177,Tokyo Medical and Dental University,73.182,Japan,TMDUniversity
178,Tomsk State University,73.129,Russia,TomskUni
179,Yonsei University,73.067,Republic of Korea,yonsei_u
180,Texas A&M University,72.951,USA,TAMU
181,Weizmann Institute of Science,72.817,Israel,WeizmannScience
182,University of Wurzburg,72.814,Germany,Uni_WUE
183,State University of Campinas (Unicamp),72.702,Brazil,unicampoficial
184,University of Erlangen Nuremberg,72.608,Germany,FAU_Germany
185,University of York,72.505,UK,UniOfYork
186,University of Ottawa,72.435,Canada,uOttawa
187,Tel Aviv University,72.407,Israel,TelAvivUni
188,University of Tsukuba,72.365,Japan,UofTsukuba
189,University of Gothenburg,72.28,Sweden,uniofgothenburg
190,Aalto University,72.261,Finland,AaltoUniversity
191,University of Reading,72.079,UK,UniofReading
192,University of Exeter,71.939,UK,UniofExeter
193,University of East Anglia,71.866,UK,uniofeastanglia
194,"State University of New York, Buffalo",71.864,USA,UBuffalo
195,University of Ulm,71.841,Germany,uni_ulm
196,Gwangju Institute of Science and Technology,71.786,Republic of Korea,NA
197,Western University,71.739,Canada,WesternU
198,University of Freiburg,71.275,Germany,UniFreiburg
199,Universite Libre de Bruxelles,71.252,Belgium,ULBruxelles
200,Wake Forest University,71.15,USA,WakeForest
201,University of Connecticut,71.142,USA,UConn
202,"Royal Holloway, University of London",71.094,UK,RoyalHolloway
203,Temple University,70.933,USA,TempleUniv
204,North Carolina State University,70.768,USA,NCState
205,Aix Marseille University,70.732,France,univamu
206,University of Aberdeen,70.625,UK,aberdeenuni
207,Newcastle University,70.561,UK,UniofNewcastle
208,Pompeu Fabra University,70.308,Spain,UPFBarcelona
209,University of Pisa,70.263,Italy,Unipisa
210,Laval University,70.225,Canada,universitelaval
211,University of Montpellier,70.066,France,umontpellier
212,University of Padua,69.935,Italy,UniPadova
213,Tehran University of Medical Sciences,69.894,Iran,NA
214,University of Hawaii,69.823,USA,UHawaiiNews
215,University College Dublin,69.687,Ireland,ucddublin
216,Moscow Institute of Physics and Technology,69.657,Russia,phystech_en
217,Drexel University,69.495,USA,DrexelUniv
218,Harbin Institute of Technology,69.494,China,HIT_China
219,University of Surrey,69.483,UK,UniOfSurrey
220,James Cook University,69.4,Australia,jcu
221,"Indian Institute of Technology, Kharagpur",69.208,India,IITKgp
222,Dalhousie University,68.82,Canada,DalhousieU
223,University of Nebraska,68.757,USA,u_nebraska
224,Universiti Teknologi Malaysia,68.739,Malaysia,utm_my
225,St George`s University of London,68.676,UK,StGeorgesUni
